tweet,is_drug_abuse
I need more wine,1
drunk me is really good at darts,1
I really want a blunt,1
I want to smoke rn,1
my nail broke wtf,0
Im lit,0
Who shot J R,0
i just wanna smoke dude,1
Drunk,1
done got drunk,1
Nobody wanna kick it with me,0
you really aint shit if you hit your girl or even threaten to do so,0
Im glad I hit rock bottom cuz its really no where to go but up from here,0
You know when ur too drunk nah,1
Bump,0
Aint nobody dope as me Im just,0
Hit me up,0
hits blunt me,1
ITS LIT,0
How does one write a hit song,0
Too drunk to let this effect me,1
Lit,0
im drunk,0
Im not even drinking alcohol,0
smoking weed,1
its lit,0
Its lit,0
MORE SHOTS,1
MORE SHOTS,1
MORE SHOTS,1
ITS LIT,0
Smoke the loud like nicotine,1
I dont even smoke but I wanna be so high rn,1
im so drunk,1
The night is still young drink that dinner wine slow,1
Drunk,1
Im drunk and love all of you,1
I been drunk all day,1
lit,0
Drunk,1
Should he get a shot,1
every time i get drunk i remember why i smoke weed,1
dont talk to her if she smoke black n milds,1
i been so lit this this weekend,0
Dope af,0
juice,1
Its not about how hard you can hit Its about how hard you can get hit and keep moving forward,0
Im too lit to dim down,0
Well this hit me straight in the chest,0
Its lit,0
Hit that shoulder lean,0
Im smoking a cig on yo porch,1
Im drunk as hell,1
Lets kick it,0
That hit me,0
I can hit it from the back and aint gotta hold my breath,0
booty like a dice game,0
If you hit a girl you are a pussy,0
a coke,1
Good drank good drank I drank the Lean,1
I dont bump mainstream I knock underground,0
When da backwood hit ya,0
I dont usually do this unless Im drunk or Im high but Im both right now,1
Liquor store me please,1
Go to bed youre drunk,1
too drunk,1
its lit,0
I need to drown in some weed,1
Everyday we lit,0
ITS A PIECE OF JUNK,0
fine like wine,0
Lets kick it,0
When da backwood hit ya,0
She came first I came last roll the grass,1
Hit my two way,0
I may be in uni but i still know how to kick it,0
im done with cigarettes,0
I wanna smoke a square but I gotta wait for my parents to get home,1
I dont smoke crack motherfucker I sell it,1
All I can be is me and thats dope,0
yup drunk,1
I smoke too much weed to stress on that dumb shit,1
Dan is drunk and pant less,1
hits blunt,1
and weed,1
Fueling up on heartaches and cheap wine,1
Dope,0
drinking this liquor got me mad HOT,1
It s almost 12 and there is no alcohol in my system,0
im too drunk to walk so ill drive,1
After I give you this game you should never let a lame hit it,1
Get drunk all the time,1
Dope,0
We smoke so much the ashes start to burn on me,1
Im lit B,0
Marijuana she can suck it if she wanna,1
I love being drunk,1
Ok Im gonna finish up soon Ill hit you up,0
you wanna hit this,1
It just hit me,0
Im in the mood for wine night,1
Who can I hit up,0
He had got shot twice in the chest,0
I wanna get drunk,1
I just want wine,1
I just wanna smoke and go back in the house,1
Fav if you love to smoke at night,1
Its lit,0
Molly tf out,0
Nah I need to smoke,1
Smoke good weed w a bad bitch,1
Just trying to kick it,0
That should work imma hit you up by Wednesday,0
It was lit,0
Hi Im Mike want a shot,1
bump that just let me be on stage with ya at a show,0
somebody HIT MY LINE,1
I got a line of them waiting,0
im drunk of your kiss,0
Im drunk,1
back to square one,0
I see the booty I grab it I see the booty I smack it,0
Faded and drunk with,1
in the mood to get drunk,1
Crossed the line I know my love but I want my bitch back,0
I love lit me i always smiling,1
me when i start to get drunk,1
Super Bowl Goals,0
Sounds lit,0
was dope tonight too,0
I be geeked dab,0
Hit me up,0
Bro I sound so bad when Im drunk ew,1
Drunk words are sober thoughts,1
All she gotta do is hit me with the text and Im pulling up,0
I need a blunt right now,1
Cigarette smoke,1
Oh look Im drunk,1
I just want to be wine drunk is that too much to ask for,1
Someone hit me up,0
No no fuck that shit I Love Drunk Me,1
Pot,1
Too drunk,1
DONT PICK UP THE PHONE U KNOW THEY ONLY CALLING CAUSE THEY DRUNK AND ALONE,1
Thats how I want it line em up,1
Gonna get a W for wine,1
good weed bad bitch,1
you can lead a horse to water but you can t make it drink,0
Hit her raw dog then I plan b,0
I cant believe Im still drunk af,1
all i do is smoke weed,1
Fuck it ima shoot my shot got none to lose,0
I smoke when I drink when its tradition,1
Wine from a can,1
When your friends wanna go out but you really wanna just smoke and play uno,1
Uptown lit,0
Its lit,0
That was dope af,0
Im super drunk,1
hit ya girls line,1
Dude Im ready to hit some more up,0
Shouldve never let you hit it I split it with you,1
Slide to Smoke and toke,1
Another lit ass night,0
50 cent was gone make me kick his ass,0
You dont even have to ask you know Im always down to hit with the boys,1
broken whiskey glass,0
from my lash line coming to soon,0
LA so fuckin lit all the time,0
It is time to get lit,0
Im beat I need one of these Except for wine that I can put next to the bed,0
Wine Time,1
Its no surprise to me I am my own worst enemy,0
